website;language;entry;product;checkout;cookies;email filled;phone filled;failure reason;notes
lefties.com;spanish;failed;skipped;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select the correct version of the webshop
sprintersports.com;spanish;passed;passed;passed;passed;passed;passed;;
cortefiel.com;spanish;passed;passed;partial;passed;passed;passed;Form and input errors;Email format and ZIP not accepted by website
stradivarius.com;spanish;passed;passed;failed;passed;skipped;skipped;Selection and interaction failures;Forced to select address on a map, unable to interact
primor.eu;spanish;passed;passed;partial;passed;passed;skipped;Form and input errors;Skipped input fields and tried to submit
druni.es;spanish;passed;passed;submit;passed;passed;passed;Looping and repetitive actions;Kept selecting the credit card option, while Continue should be clicked. Wanted to find credit card fields
sephora.es;spanish;passed;passed;failed;passed;skipped;skipped;Selection and interaction failures;Did not click continue after filling in email address
notino.es;spanish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
promofarma.com;spanish;passed;passed;passed;passed;passed;passed;;
arenal.com;spanish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Kept filling in the same fields with the same information
perfumesclub.com;spanish;passed;passed;partial;passed;passed;skipped;Verification and security challenges;Encountered Google Captcha check during checkout
miin-cosmetics.com;spanish;failed;skipped;skipped;passed;skipped;skipped;Verification and security challenges;Encountered Google Captcha check on homepage
douglas.es;spanish;passed;passed;partial;passed;passed;passed;Form and input errors;Entered email twice, which returned an incorrect format error
yepoda.es;spanish;passed;failed;skipped;passed;skipped;skipped;Looping and repetitive actions;Kept scrolling down to find more products, while products where in view
zalando.se;swedish;passed;passed;failed;passed;passed;skipped;Site and navigation issues;Site shows error code upon submission of the email address and clicking the ' Continue' button
sellpy.se;swedish;passed;passed;partial;passed;passed;failed;Form and input errors;Incorrectly entered phone number due to country code dropdown menu
boozt.com;swedish;passed;passed;partial;passed;passed;failed;Form and input errors;ZIP code and Country code invalid
booztlet.com;swedish;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Unable to close pop up on homepage
ellos.se;swedish;passed;passed;partial;passed;passed;passed;Form and input errors;Email address is not accepted by website
stadiumoutlet.se;swedish;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select size from dropdown menu
lindex.com;swedish;failed;skipped;skipped;passed;skipped;skipped;Selection and interaction failures;Stuck on homepage on webshop selection
lager157.com;swedish;passed;passed;partial;passed;passed;passed;Form and input errors;Phone number is not accepted
adidas.se;swedish;passed;failed;skipped;passed;skipped;skipped;Site and navigation issues;Sizes for products are not loading
dressmann.com;swedish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
lyco.co.uk;swedish;passed;passed;partial;passed;passed;passed;Form and input errors;ZIP code is not accepted
kicks.se;swedish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps selecting delivery option
notino.se;swedish;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
gents.se;swedish;passed;passed;failed;passed;skipped;skipped;Form and input errors;Selected newsletter input fields at the bottom of the page
cocopanda.se;swedish;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps selecting delivery option
sephora.se;swedish;passed;passed;partial;passed;passed;failed;Form and input errors;Phone number is not accepted
parfym.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Unable to click 'Pay Now' in form
bangerhead.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Unable to click 'Pay Now' in form
luxplus.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Checkbox was not clicked
nordicfeel.se;swedish;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Unable to click 'Pay Now' in form
hm.com;dutch;passed;passed;passed;passed;failed;passed;;Changed mail address to continue in form
shein.com;dutch;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Unable to close pop up on homepage
zara.com;dutch;passed;passed;partial;passed;failed;failed;Looping and repetitive actions;Kept appending information to fields, which disturbed forms
mango.com;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Email address and ZIP Code format is not accepted by website
asos.com;dutch;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Unable to close pop up on homepage
rituals.com;dutch;passed;passed;passed;passed;passed;passed;;
yesstyle.com;dutch;passed;passed;failed;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during checkout
kikocosmetics.com;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;ZIP Code not accepted (wanted 7 or more characters)
